,epoch,lr0,lr1,lr2,m0,m1,m2
19,19.0,0.0096839941864971,0.0096839941864971,0.0096839941864971,0.937,0.937,0.937
20,20.0,0.0096483841821482,0.0096483841821482,0.0096483841821482,0.937,0.937,0.937
21,21.0,0.0096109545593917,0.0096109545593917,0.0096109545593917,0.937,0.937,0.937
22,22.0,0.009571721736097,0.009571721736097,0.009571721736097,0.937,0.937,0.937
23,23.0,0.0095307029210773,0.0095307029210773,0.0095307029210773,0.937,0.937,0.937
24,24.0,0.0094879161065404,0.0094879161065404,0.0094879161065404,0.937,0.937,0.937
25,25.0,0.0094433800601973,0.0094433800601973,0.0094433800601973,0.937,0.937,0.937
26,26.0,0.0093971143170299,0.0093971143170299,0.0093971143170299,0.937,0.937,0.937
27,27.0,0.0093491391707222,0.0093491391707222,0.0093491391707222,0.937,0.937,0.937
28,28.0,0.009299475664759,0.009299475664759,0.009299475664759,0.937,0.937,0.937
29,29.0,0.0092481455831954,0.0092481455831954,0.0092481455831954,0.937,0.937,0.937
30,30.0,0.0091951714411016,0.0091951714411016,0.0091951714411016,0.937,0.937,0.937
31,31.0,0.0091405764746872,0.0091405764746872,0.0091405764746872,0.937,0.937,0.937
32,32.0,0.0090843846311088,0.0090843846311088,0.0090843846311088,0.937,0.937,0.937
33,33.0,0.0090266205579662,0.0090266205579662,0.0090266205579662,0.937,0.937,0.937
34,34.0,0.008967309592491,0.008967309592491,0.008967309592491,0.937,0.937,0.937
35,35.0,0.0089064777504329,0.0089064777504329,0.0089064777504329,0.937,0.937,0.937
36,36.0,0.0088441517146482,0.0088441517146482,0.0088441517146482,0.937,0.937,0.937
37,37.0,0.0087803588233963,0.0087803588233963,0.0087803588233963,0.937,0.937,0.937
38,38.0,0.0087151270583476,0.0087151270583476,0.0087151270583476,0.937,0.937,0.937
39,39.0,0.0086484850323101,0.0086484850323101,0.0086484850323101,0.937,0.937,0.937
40,40.0,0.0085804619766791,0.0085804619766791,0.0085804619766791,0.937,0.937,0.937
41,41.0,0.0085110877286148,0.0085110877286148,0.0085110877286148,0.937,0.937,0.937
42,42.0,0.0084403927179554,0.0084403927179554,0.0084403927179554,0.937,0.937,0.937
43,43.0,0.0083684079538691,0.0083684079538691,0.0083684079538691,0.937,0.937,0.937
44,44.0,0.0082951650112523,0.0082951650112523,0.0082951650112523,0.937,0.937,0.937
45,45.0,0.0082206960168806,0.0082206960168806,0.0082206960168806,0.937,0.937,0.937
46,46.0,0.0081450336353161,0.0081450336353161,0.0081450336353161,0.937,0.937,0.937
47,47.0,0.0080682110545799,0.0080682110545799,0.0080682110545799,0.937,0.937,0.937
48,48.0,0.007990261971595,0.007990261971595,0.007990261971595,0.937,0.937,0.937
49,49.0,0.0079112205774054,0.0079112205774054,0.0079112205774054,0.937,0.937,0.937
50,50.0,0.007831121542179,0.007831121542179,0.007831121542179,0.937,0.937,0.937
51,51.0,0.0077499999999999,0.0077499999999999,0.0077499999999999,0.937,0.937,0.937
52,52.0,0.0076678915334577,0.0076678915334577,0.0076678915334577,0.937,0.937,0.937
53,53.0,0.0075848321580393,0.0075848321580393,0.0075848321580393,0.937,0.937,0.937
54,54.0,0.0075008583063321,0.0075008583063321,0.0075008583063321,0.937,0.937,0.937
55,55.0,0.0074160068120428,0.0074160068120428,0.0074160068120428,0.937,0.937,0.937
56,56.0,0.0073303148938411,0.0073303148938411,0.0073303148938411,0.937,0.937,0.937
57,57.0,0.0072438201390344,0.0072438201390344,0.0072438201390344,0.937,0.937,0.937
58,58.0,0.007156560487081,0.007156560487081,0.007156560487081,0.937,0.937,0.937
59,59.0,0.0070685742129481,0.0070685742129481,0.0070685742129481,0.937,0.937,0.937
60,60.0,0.0069798999103236,0.0069798999103236,0.0069798999103236,0.937,0.937,0.937
61,61.0,0.0068905764746872,0.0068905764746872,0.0068905764746872,0.937,0.937,0.937
62,62.0,0.0068006430862501,0.0068006430862501,0.0068006430862501,0.937,0.937,0.937
63,63.0,0.0067101391927686,0.0067101391927686,0.0067101391927686,0.937,0.937,0.937
64,64.0,0.0066191044922418,0.0066191044922418,0.0066191044922418,0.937,0.937,0.937
65,65.0,0.0065275789154979,0.0065275789154979,0.0065275789154979,0.937,0.937,0.937
